cell.line,time.pt,drug,compound,unlabeled,labeled,,sample
MEF with Ras,24,PDBU,histidine,6333.74,48429.57,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,histidine,8558.78,49596.36,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,histidine,7580.85,50351.14,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,histidine,6383.63,56910.57,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,histidine,5311.81,54160,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,histidine,6016.01,44880.96,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,histidine,7288.77,59057.92,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,histidine,6680.76,47281.22,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,histidine,9050.87,59633.46,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,histidine,9396.43,83229.49,,Ras_NoTrx_24h_01
MEF with Ras,16,No Trx,histidine,5631.74,49797.08,,Ras_NoTrx_16h_03
MEF with Ras,16,No Trx,histidine,4170.05,51556.21,,Ras_NoTrx_16h_02
MEF with Ras,16,No Trx,histidine,4808.16,56927.21,,Ras_NoTrx_16h_01
MEF no Ras,24,Torin,histidine,6238.61,61873.11,,NoRas_Torin_24h_04
MEF no Ras,24,Torin,histidine,8326.73,57830.91,,NoRas_Torin_24h_03
MEF no Ras,24,Torin,histidine,6357.13,50040.24,,NoRas_Torin_24h_02
MEF no Ras,24,Torin,histidine,6311.85,44174.28,,NoRas_Torin_24h_01
MEF no Ras,16,Torin,histidine,4418.76,58170.8,,NoRas_Torin_16h_03
MEF no Ras,16,Torin,histidine,4306.88,60293.33,,NoRas_Torin_16h_02
MEF no Ras,16,Torin,histidine,4991.49,53410.05,,NoRas_Torin_16h_01
MEF no Ras,24,PMA,histidine,4922.09,54603.74,,NoRas_PMA_24h_04
MEF no Ras,24,PMA,histidine,4077.2,46809.58,,NoRas_PMA_24h_03
MEF no Ras,24,PMA,histidine,5416.9,50910.97,,NoRas_PMA_24h_02
MEF no Ras,24,PMA,histidine,5468.2,58586.36,,NoRas_PMA_24h_01
MEF no Ras,16,PMA,histidine,4139.89,60909.05,,NoRas_PMA_16h_03
MEF no Ras,16,PMA,histidine,4056.22,51647.09,,NoRas_PMA_16h_02
MEF no Ras,16,PMA,histidine,4344.59,63164.17,,NoRas_PMA_16h_01
MEF no Ras,24,PDBU,histidine,7081.44,58057.92,,NoRas_PDBU_24h_04
MEF no Ras,24,PDBU,histidine,6194.96,59218.34,,NoRas_PDBU_24h_03
MEF no Ras,24,PDBU,histidine,4855.23,49044.12,,NoRas_PDBU_24h_02
MEF no Ras,24,PDBU,histidine,6095.31,56548.42,,NoRas_PDBU_24h_01
MEF no Ras,16,PDBU,histidine,4445.32,61408.44,,NoRas_PDBU_16h_03
MEF no Ras,16,PDBU,histidine,3420.24,48763.57,,NoRas_PDBU_16h_02
MEF no Ras,16,PDBU,histidine,4056.67,46415.25,,NoRas_PDBU_16h_01
MEF no Ras,24,No Trx,histidine,5344.16,54899.15,,NoRas_NoTrx_24h_04
MEF no Ras,24,No Trx,histidine,6082.67,54775.82,,NoRas_NoTrx_24h_03
MEF no Ras,24,No Trx,histidine,4172.75,46316.7,,NoRas_NoTrx_24h_02
MEF no Ras,24,No Trx,histidine,4643.94,50543.47,,NoRas_NoTrx_24h_01
MEF no Ras,16,No Trx,histidine,7937.83,51456.03,,NoRas_NoTrx_16h_03
MEF no Ras,16,No Trx,histidine,5037.3,66149.29,,NoRas_NoTrx_16h_02
MEF no Ras,16,No Trx,histidine,4803.81,66344.45,,NoRas_NoTrx_16h_01
common,DMEM,DMEM,histidine,192021.06,3.27,,DMEM_04
common,DMEM,DMEM,histidine,144088.34,8.83,,DMEM_03
common,DMEM,DMEM,histidine,141622.12,7.44,,DMEM_02
common,DMEM,DMEM,histidine,128480.88,242.33,,DMEM_01
common,blank,blank,histidine,14.9,3.24,,Blank_04
common,blank,blank,histidine,9.11,19.5,,Blank_03
common,blank,blank,histidine,10.66,34.54,,Blank_02
common,blank,blank,histidine,42.82,20.3,,Blank_01
common,40% 13C DMEM,40% 13C DMEM,histidine,1423.34,59688.2,,40pLabeled_04
common,40% 13C DMEM,40% 13C DMEM,histidine,1116.07,54036.59,,40pLabeled_03
common,40% 13C DMEM,40% 13C DMEM,histidine,858.68,63106.14,,40pLabeled_02
common,40% 13C DMEM,40% 13C DMEM,histidine,854.01,47973.61,,40pLabeled_01
MEF with Ras,24,Torin,threonine,6203.03,127423.98,,Ras_Torin_24h_04
MEF with Ras,24,Torin,threonine,9019.2,154592.19,,Ras_Torin_24h_03
MEF with Ras,24,Torin,threonine,8845.4,134657.11,,Ras_Torin_24h_02
MEF with Ras,24,Torin,threonine,8905.91,129481,,Ras_Torin_24h_01
MEF with Ras,16,Torin,threonine,4847.1,152208.38,,Ras_Torin_16h_03
MEF with Ras,16,Torin,threonine,5695.3,148843.16,,Ras_Torin_16h_02
MEF with Ras,16,Torin,threonine,4224.61,122405.12,,Ras_Torin_16h_01
MEF with Ras,24,PMA,threonine,8133.49,153359.7,,Ras_PMA_24h_04
MEF with Ras,24,PMA,threonine,6987.72,143722.48,,Ras_PMA_24h_03
MEF with Ras,24,PMA,threonine,6492.05,131553.77,,Ras_PMA_24h_02
MEF with Ras,24,PMA,threonine,7772.96,137757.48,,Ras_PMA_24h_01
MEF with Ras,16,PMA,threonine,5535.91,160070.45,,Ras_PMA_16h_03
MEF with Ras,16,PMA,threonine,4866.02,146827.92,,Ras_PMA_16h_02
MEF with Ras,16,PMA,threonine,4075.54,135816.17,,Ras_PMA_16h_01
MEF with Ras,24,PDBU,threonine,7697.59,121833.41,,Ras_PDBU_24h_03
MEF with Ras,24,PDBU,threonine,9148.43,118469.31,,Ras_PDBU_24h_02
MEF with Ras,24,PDBU,threonine,7507.85,134498.61,,Ras_PDBU_24h_01
MEF with Ras,16,PDBU,threonine,4556.24,146017.95,,Ras_PDBU_16h_03
MEF with Ras,16,PDBU,threonine,4177.68,122732.09,,Ras_PDBU_16h_02
MEF with Ras,16,PDBU,threonine,4528.66,111735.96,,Ras_PDBU_16h_01
MEF with Ras,24,No Trx,threonine,5594.94,143417.52,,Ras_NoTrx_24h_04
MEF with Ras,24,No Trx,threonine,5328.17,146797.58,,Ras_NoTrx_24h_03
MEF with Ras,24,No Trx,threonine,7428.29,123845,,Ras_NoTrx_24h_02
MEF with Ras,24,No Trx,threonine,11029.28,181586.05,,Ras_NoTrx_24h_01
